"","each_day_US"
"11/30/21",48586419
"12/1/21",48723416
"12/2/21",48862639
"12/3/21",49021288
"12/4/21",49086882
"12/5/21",49141150
"12/6/21",49320637
"12/7/21",49433879
"12/8/21",49583551
"12/9/21",49706000
"12/10/21",49866678
"12/11/21",49922510
"12/12/21",49973827
"12/13/21",50160912
"12/14/21",50275736
"12/15/21",50419315
"12/16/21",50560916
"12/17/21",50753684
"12/18/21",50831469
"12/19/21",50919263
"12/20/21",51161681
"12/21/21",51340056
"12/22/21",51580795
"12/23/21",51850531
"12/24/21",52083986
"12/25/21",52156791
"12/26/21",52352498
"12/27/21",52861106
"12/28/21",53217110
"12/29/21",53715495
"12/30/21",54303763
"12/31/21",54793602
"1/1/22",54959872
"1/2/22",55263999
"1/3/22",56340454
"1/4/22",57146009
"1/5/22",57790463
"1/6/22",58605103
"1/7/22",59461893
"1/8/22",59847636
"1/9/22",60323380
"1/10/22",61691762
"1/11/22",62461007
"1/12/22",63370543
"1/13/22",64210668
"1/14/22",65069619
"1/15/22",65463200
"1/16/22",65930556
"1/17/22",66590148
"1/18/22",67693339
"1/19/22",68684431
"1/20/22",69388781
"1/21/22",70206083
"1/22/22",70490987
"1/23/22",70845794
"1/24/22",71741698
"1/25/22",72257016
